"ĐÃ SẮP XẾP THEO QUẬN, HUYỆN		",,Mn muốn recommend quán ở quận nào thì add thêm dòng ở quận đó nha,Filter ,,"MỌI NGƯỜI LỌC THEO QUẬN, HUYỆN TÌM CHO DỄ NHA!",,
Loại quán,Món - Quán,ĐỊA CHỈ - CN,Quận,Giá tiền,Review,FEEDBACK MN,ỤA MN CÓ CHỈNH ĐƯỢC SHEET KHÔNG DẠ? TUI ĐÃ BẬT PUBLIC EDIT RỒI Á
Cafe,lazero cf,7 ngô thời nhiệm q3 ( sau trường marie curie),3,45-79,nước hơi mắc vì ở trung tâm,,
Món Việt,Nechura - Nem chua rán Hà Nội - Lê Văn Sỹ,115/12 Lê Văn Sỹ P13 Q Phú Nhuận,3,49-69-89k,"Nem chua rán Hà Nội có nước chấm cay nồng siu ngon / Tìm ""Nechura"" trên các app giao hàng nha.",,
,Gummy Chicken Steak," Hẻm 2/41 Đ. Cao Thắng, Phường 5, Quận 3",3,60 - 160k,,,
,no nê pasta,48 Nguyễn Văn Mai,3,Nhiều giá,,,
Món Việt,tròn kitchen,262c lê văn sỹ p14 q3,3,nhiều giá,off t4,,
Món Hoa,Sủi cảo Kon Lou,"3/71/10 Thành Thái, Quận 3",3,,,,
Ăn Vặt,Bánh tráng tỏi (bạn search gg cho chính xác),Chung cư Trần Quang Diệu,3,,,,
,Steak Nam Sơn,200 Nguyễn Thị Minh Khai P6 Q3,3,,Recommend steak đà điểu ạa,,
Món Việt,cơm tấm hậu,"c/cư Trần Quốc Thảo, 183B Trần Quốc Thảo, Phường 9, Q3",3,,,,
Món Việt,Bánh mì xíu mại chén đèn dầu,"416G Đ. Nguyễn Thị Minh Khai, Phường 5, Quận 3",3,5-25k,"Bánh mì xíu mại ngon giống Đà Lạt, bán khuya",,
,Sowee space,"148/3 Lý Chính Thắng, P14",3,< 55k,Trà sữa trà đen ngonn điên. Giá hơi cao mà được cái dung tích ít (món nào cũng vậy),,
,Haohouse Chicken (quán nghỉ thứ 2 hàng tuần),"174/51/32 Nguyễn Thiện Thuật, phường 3, quận 3",3,15k-95k,"quán bé bé nằm trong hẻm thôi do cũng là nhà ở nhưng cô chú dễ thương lắm, đồ ăn ngon giá cũng rẻ, mình gọi 3 món là no xỉu luôn rồi á. rcm mng ăn gà xốt sate mật ong, kimbap chiên xù nè",,
Món Việt,Nem nướng cô Đào,Chợ Nguyễn Văn Trỗi,3,50,"cô dth, thêm rau bánh tráng bánh hỏi kẹo thoải mái, cuối tuần hết sớm nên tranh thủ trước 19h nha",,
,Dulce de Saigon,"382/15 Đ. Nguyễn Thị Minh Khai, Phường 5, Quận 3",3,60-300,"Bánh ngọt, cookie ngon đỉnh điên nhất sg (mấy cái choco đen có hạt), bánh cà rốt, cheesecake, cái nào cũng nên thử",,
Món Việt, Bánh xèo cô Nguyệt,"Chi nhánh Trần quốc toản, Q3",3,>10k,Mình hay đặt trên Shopeefood. Mua trên 5 cái là có mã giảm nhiều ùi. Nước chấm bên này là nước chấm đậu phộng hay s ý. Ăn ngon lạ miệng. Cũng có nước mắm nh mn nhớ note vs tiệm nhe. ,,
,Kocha matcha Spot,47/3 Phạm Ngọc Thạch,3,>85k,"Quán chuyên matcha, ngon, nhiều loại trà, không gian nhiều ổ điện tha hồ chạy deadline",,
Món Việt,Mì Quảng D5,"19/16 D5, bình thạnh",3,,,,
Món Việt,Phở cô Nguyệt ,"Xe phở đối diện chùa Kim Cương, P.14, Q.3",3,~40k,,,
Món Việt,Lẩu gà lá é,"716B Trường Sa, P. 14, Quận 3, TP. HCM",3,,,,
Món Việt,Căn tin 15,"15 Nguyễn Gia Thiều, Phường 6, Quận 3",3,~35k,"Cơm trưa văn phòng rẻ mà nóng hổi, sạch sẽ, tặng kèm ya ua với trà đá",,
Món Việt,Xôi Nếp Than Cô Thuý,"209/24 Đ. Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh, Vietnam",3,,,,
Món Việt,bún bò mỡ nổi cô Như,"274/29 Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh",3,40k,"Rẻ và ngon, được vô danh sách Michelin mà k tăng giá",,
,The Donut Club,62B Phạm Ngọc Thạch Q3 (kế Circle K),3,15-35,"Tạm thời là xe bán hàng, sắp tới có mở tiệm collab với chieccupdo, bánh ngon xỉu luôn á",,
,Tiệm mì mi an,"2/24 Cao Thắng, phường 5",3,45-70,"Siu ngonnnnn, sợi mì tươi, rcm mng nên ăn sốt tomyum, đi vào cuối tuần hơi đông phải ngồi chờ xíu, với có mấy cái bàn hơi nhỏ",,
Nước,trà sữa Xuyến ,"129F/95C, Bến Vân Đồn, F8, Q4",4,10k trở lên,"trà sữa đây rẻ mà ngon nhm hơi ngọt với t, để dành tới tháng hết tiền uống cũng ổn lắm ngon rẻ nhe",,
Món Việt,Mì ốc Hến Dì Lan,20/23 Nguyễn Trường Tộ P13 Q4,4,35k - 50k,8h30-21h,,
Món Việt,Cơm tấm Hồng Calmette,"134 Hoàng Diệu, p9, q4",4,,bán từ 16h,,
Món Việt,Bánh mì Lan Mi,"125 Tôn Đản, Phường 15, Quận 4",4,>40k/ổ,,,
Ăn vặt,Flan Ngọc Nga,"Đường 20 Thước, Q4",4,>10k,"Flan, panna cotta, tàu hũ ngon ",,
Món Việt, Hà Nội siêu ngon,"30 Tôn Đản, Phường 13, Quận 4",4,48 - 75k,"Thiệt ra tui vẫn chưa có cơ hội thử nhiều quán  lắm, nhma quán này ngon nhaa, tui dính ở đây từ lúc ở SG tới giờ luôn",,
Nước,Trà dâu cô Ba,"163 Bis Tôn Đản, Phường 14",4,>20k,"Menu đa dạng, trà dâu ngon",,
Món Hàn,"Cơm trộn bò bằm, canh bulgogi bò mỹ nấm","143 Tôn Thất Thuyết, Phường 15, Quận 4, Hồ Chí Minh",4,35-120k,"Món Hàn siêu ngon, đi trễ sẽ hơi đông nha mn. ",,
Món Nhật,Sukiya ramen,Nguyễn Tri Phương,5,< 25k ,chi nhánh này ngưng nhận ck nha,,
Ăn vặt,Bánh tráng trộn - Bánh tráng cuốn cô Nga,"18A Nguyễn Kim, P. 12,  Quận 5 
(cổng sau trường THPT Hùng Vương)",5,20 - 40k,bán tầm trưa chiều tới 6 7h tối,,
Ăn vặt,Cacao dừa Dì Lan," 329 Hùng Vương, P9, Q.5",5,20 - 5k,"Hồi 2017 còn ngon, giờ k bằng nhưng cũng có thể thử cho biết",,
Món Hoa,Dimsum Học Lạc,"38B Học Lạc, Phường 14, Quận 5",5,35 - 48k,rất ngon,,
,Koo Kui Desserts - Cổ Cư Chè Quán,"949 Đ. Nguyễn Trãi, Phường 14, Quận 5",5,40 - 70k,"gần Dimsum Học Lạc, có thể đi bộ qua lại được",,
,Sủi cảo Sâm,"409/12 Đ. Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh",5,50k >,"Quán nằm trong hẻm kế bên Phở Lệ, đi sớm tầm 4h30 (quán hay hết sớm), nhớ xin thêm tóp mỡ nhe ngon lớm",,
,Cửu Long Quán,"76 Đ. Bùi Hữu Nghĩa, Phường 7, Quận 5",5,>80k,"Menu dimsum, chả giò tôm hạnh nhân ngonn",,
,Mì hoành thánh Papa Lee's Noodle ,"271, Trần Phú, P7, Q5",5,,,,
,Chè Lâm Thạnh,"486, Trần Hưng Đạo, phường 14, Quận 5",5,15-32,Chè ba màu ở đây siu ngon <3 Không có trên app,,
,Quán ăn Sài Gòn,"938 Đ. Trần Hưng Đạo, Phường 7, Quận 5",5,>70,"Bán đồ hoa, dimsum ngon, bánh cuốn tôm, chân gà tàu xì, sườn non, há cảo sò điệp nhức nách",,
,Chè cột điện,476 Trần Hưng Đạo ,5, 15-40k,,,
,Há cảo Phánh,"Lô B Chung Cư, Đ. Nguyễn Trãi, Phường 7, Quận 5",5,,Há cảo đồ có 3k/viên mà viên cũng to á,,
,Phở Hà Nội,"499 Đ. An Dương Vương, Phường 7, Quận 5",5,>70k,"Phở người Bắc chính gốc, không bị quá nhiều mỡ, ăn thanh đạm mà ngon lắm á",,
,Cơm cà ri gà chiên xù,"53 Nguyễn Thời Trung, P. 6, Quận 5",5,,Hơi cay cay xíu nha ,,
,Dong Seoul ,"258 Trần hưng đạo, P11, Quận 5",5,>45k,"Mn đi ăn nên kêu mì tương đen, thịt heo chiên chua ngọt nhe. Đi 2 ng nên kêu phần nhỏ thui là ăn vừa no ạ. ",,
,Bánh canh cua Bà Ba,84/6 Nguyễn Biểu p1,5,100k,"chỗ này t đến ăn vì cái nồi bánh canh, ăn ổn áp, 2 người ăn no nhe",,
,Sushi MH,"185/2 Nguyễn Văn Cừ, P2, Q5",5,,,"Cá nhân cảm thấy chỗ này ăn khá mất vệ sinh và đồ không tươi, mình ăn thấy đau bụng",
,Bánh canh cua 14,14 Trần Bình Trọng Q5,5,50-100k,,,
,Trà sữa Châu Viên,Cao Đạt Q5,5,10-30k,Gần cầu chữ Y,,
,Hủ tiếu mì Bà Cao,"Chung cư Nguyễn Trãi lô A, 004 Lô A, Phường 7 Q5",5,,,,
,Zan Tai Wei 讚台味 - Trà Sữa & Mì Bò Đài Loan,"922 Đ. Trần Hưng Đạo, Phường 7, Quận 5",5,~80k,,,
,Lò Đất BBQ,"159 Trần Tuấn Khải, Q5",5,,,,
,Lẩu sa tế uyên ương,"743/34 Đ. Hồng Bàng, Phường 2, Quận 6",6,150k - 250k ,,,
,Phá lấu,"26 Phạm Văn Chí, phường 1, Quận 6",6,<50,"Nó dịu, nó keooo, nó béo, nó ngon khó cưỡng",,
,Namba roastery,"153 Bà Hom P13, Q6",6,40-70k,"Rất là highly recommend cho mom nào thích yên tĩnh, nước ngon, nvien cute nhiệt tình, mát rượi. Quán ruột chạy deadline của tui ớ",,
,"Bánh bèo, bánh cuốn, bánh bột lọc, bánh miền Trung đó",120 Phạm Văn chí P1 Q6,6,25-30,"Ngon, sạch sẽ, dịu kha. Bán tầm xế chiều",,
,Hủ tiếu xào A Dìn ,"E39 cư xá Phú Lâm B phường 13, quận 6",6,<50,"Món đồ xào người hoa trời má ơi nó ngon, thơm mùi khói và rất rcm cho cư dân mình nheee ; ê ngon thiệt nha kkk",,
,Bonguu Beer,"S48-1 Sky Garden 2, Phú Mỹ Hưng, Phường Tân Phong, Q7",7,> 100k,,,
,Mr.Beefsteak,"285 Lâm Văn Bền, Bình Thuận, Q7",7,100 - 300,"Quán đồ Âu, pasta, steak và cá ở đây rất ngon. Không gian quán không quá to. Decor đẹp, ấm áp",,
Ăn vặt,Chè,"1304 Huỳnh Tấn Phát, Phú Mỹ, Quận 7",7,15k-30k,chè thái ngon cực,,
Món Việt,Bún bò Sông Hương,"587 Huỳnh Tấn Phát, Tân Thuận Đông, Q7",7,>40,Rất là ngon,,
Món Việt,Bánh đa cua - Bún cá Anh Thư Hải Phòng,"3 Đ. D1, Phú Mỹ, Q7 (kế nhà thuốc Long Châu + Minh Thi)",7,>10,Đi buổi chiều có bán bánh xèo miền Trung nữa nha,,
Món Việt,Bún bò Huế cô Xuân ,"72 đường số 79, Tân Quy, q7",7,45-70k,,,
Món Việt,Bún bò 47 Ngọc Nga,47 đường số 41 phường Tân Quy q7,7,40k,,,
Ăn vặt,Cá viên chiên Hùng Phát ,"94 đường số 7, Tân Kiểng, q7",7,,chiên mắm ngonnnnnn,,
Món Việt,Quán nướng Bảo Đăng,"1489 Huỳnh Tấn Phát, Phú Mỹ, q7",7,,"ngồi lề đường chill, giá vừa tầm, nhiều món",,
Món Việt,Bún đậu nhà tao,"595 Lê Văn Lương, P.Tân Phong, Q7",7,<200k,"Rẻ mà nhiều nha má, đủ thể loại chả cốm, nem chua rán, giò sụn, chả giò các kiểu, thịt chân giò. Đặc biệt bún rau thêm free =))))",,
Món Việt,bún bò huế cô Xuân chợ Đông Ba,"72 Đường số 79, Tân Quy, Quận 7, Hồ Chí Minh",7,55 - 70k,,,
Món Việt,Bánh cuốn nóng Cao Bằng,"1266 Huỳnh Tấn Phát, Phú Mỹ, Quận 7",7,>45k,"Ngon, ăn lạ miệng, nhớ đi sớm tầm trước 7h tối",,
Món Việt,Bún chả Hà Nội,"34 Cao Triều Phát, Phú Mỹ Hưng",7,60+,,,
Món Nhật,Sushi N ,71 trần tuấn khải phường 5 quận 5,7,60k/p,Search quán coi địa chỉ nha nhiều chi nhánh lắm. 2 người ăn 1 mẹt cũng thấy no nữa,,
Món Việt,Nhà tui cà phê,"11 đường số 15, Tân Kiểng, Quận 7",7,,"(matcha cacao ngon, nhân viên siêu nhiệt tình)",,
Món Hàn,Oppa Korean Food,"Số 158, đường 79, phường Tân Quy, Quận 7",7,25-50k,"Quán ngon và rẻ lắm, còn đầy ú nữa, mấy món Hàn siu hợp gu mình, anh chị chủ nice lúm. Nhma quán hơi nhỏ nên mng để ý xíu thì mới nhìn thấy",,
Món Việt,Bún đậu Xưa,"111B Đường số 79, Tân Quy, Quận 7",7,> 60k,"Quán bún đậu ruột bên Q7 của tui luôn, tui là cạ cứng bún đậu nên cũng ăn giáp bên mé q7 rùi, chỉ mỗi quán này là mắm tôm ngon thui í, topping nóng hổi giòn tan. Bạn tui không ăn được mắm tôm nên lần nào cũng gọi nước mắm, nhma cổ vẫn khen nước mắm ở đây ngon í (có 2 option mắm chua với mắm ngọt nhaa)",,
Món Việt,Quán bánh cuốn Lạng Sơn,"Nằm trong chung cư Hoàng Anh Gia Lai 1, 357 Đ. Lê Văn Lương, Tân Quy, Quận 7",7,> 40k,"Quán này t thấy trên tiktok nhma xứng đáng để fomo nha. Ngoài bánh cuốn nóng hổi vừa thổi vừa ăn ra thì quán còn nhiều món ngon lắm, t hay ăn bún mọc ở đây. Một tô 4x cá mà mọc với thịt viên đầy ú ụ. Cô chú bán cũng chục năm rùi í, siêu thân thiện luônn",,
Món Việt,Ốc Kiều,"137 Đ. 17, Tân Thuận Tây, Quận 7",7,> 40k/món,"Ê t thề cái quán này ngon vãi í, rẻ nhma ốc siêu chất lượng so với giá, t vô tình thấy nó trong một lần chặt hẻm, nhma đến giờ vẫn ít thấy tiktoker review nên t thấy nó hơi flop với giới trẻ bọn mình í. Bình thường t đi ăn toàn cô chú anh chị 9x đổ lên thui. Ngon lắm đi ăn đi. Nhma t không rec các loại nghêu hấp đâu nhe, t thấy nghêu ăn uci nhất là nghêu hấp thái. Còn lại các món nướng, xào bơ, xào rau muống đều ngonnn",,
Ăn vặt,Khoai lang - mỡ - đủ thứ chiên chị Lan,"659 đường Trần Xuân Soạn, Tân Hưng, Quận 7",7,> 15k,"T ăn quán này từ hồi nó chưa hot trên tiktok cơ, quán siêu đông luôn. Tại vì vừa ngon vừa rẻ í, cô chú có lắc phô mai với lắc xí muội nữa. Highly rec cho hôm nào buồn mồm muốn nhai cgi đó",,
Món Việt,Lẩu gà lá é Phú Yên Quán,"71 Đ. Nguyễn Thị Thập, Bình Thuận, Quận 7",7,> 200k,"Một quán lẩu gà lá é cũng khá ổn cho mí mom nào thèm lẩu gà mà không thể lên ĐL ăn. Bình thường t hay gọi 1 lẩu gà lá é nhỏ, nhma vẫn đầy gà + măng + nấm. Ncl ngon tuyệt vời, nước lẩu vừa mồm luôn. -1đ tại vì dạo này quán chuyển sang dùng gà công nghiệp thay vì gà ta như trước nữa ",,
Ăn vặt,Bắp nướng 98A,"98A đường số 79, Tân Quy, Quận 7",7,> 15k,"Ở đây vừa có bắp mỹ vừa có bắp nếp nướng luôn í, bắp nướng bằng than nhma hạt bắp không bị khô, rất mềmm. Quán sẽ trộn bắp với mỡ hành, topping các thứ nên ăn siêu vừa vị t luôn í. Khoai lang nướng cũng ngon đỉnh chóp luônnn, củ nào củ nấy ứa mậttt. Ghé quán ăn đi cmày ớiii",,
