STT,Tên quán,Tên món,Phân loại món,Tên đường,Quận,Giờ mở cửa,Khoảng giá,Note
74,Mì trộn Tùm Lum,Mì trộn,Món khô,"1196 CMT8, P.4",Quận Tân Bình,10h-22h,,
75,Xủi cảo Hà Tôn Quyền ,Xủi Cảo,Món khô,"162 Hà Tôn Quyền, Q11",Quận 11,15h-0h,"50k-100k
",
76,Chỗ bụi ngồi chill ngắm view,Bụi,Ăn vặt,"Qua cầu Thủ Thiêm 2 rồi rẽ phải, đến ngã ba đầu tiên rẽ phải tiếp là đến ",Quận 2,,,
77,Nem nướng Nha Trang Thiện Tâm,Nem nướng,Món cuốn,"504 Minh Phụng, P.9",Quận 11,8h-23h,,
78,Đặc sản Phan Rang 2 Phượng,"Bánh căn, bánh khọt",Món cuốn,"CC22 Trường Sơn, Cư Xá Bắc Hải, P.15",Quận 10,09:00 - 22:30,40-60k,
79,Sushi sashimi Kimochi,"Sushi, Sashimi",Sang choảnh - Không gian xinh,"167/2/5 Ngô Tất Tố, P. 22, Phường 22",Quận Bình Thạnh,10h-22h,,
80,Bánh Mì Xíu Mại Gánh - Vạn Kiếp,Bánh mì xíu mại,Bánh mì,"A2/8 Chung Cư Miếu Nổi, P.2",Quận Bình Thạnh,14:00 - 18:00,15k,
81,Gum Fastfood - Món âu,Món âu,Sang choảnh - Không gian xinh,245/1 Nguyễn Trãi,Quận 1,10h-21h30,,
82,Mì quảng O Hè,Mì quảng,Món nước,"Cuối hẻm 315 Lê Văn Sỹ, phường 13",Quận 3,06:30 - 12:30,45-50k,
83,Bánh mì Hồng,Bánh mì ba chỉ muối,Bánh mì,"311 Nguyễn Tri Phương,",Quận 10,17h30-24h,,
84,Hủ tiếu bánh canh Cầu Dừa,"Hủ tiếu, bánh canh",Món nước,"https://www.google.com/maps/place/Che%CC%80+Tro%CC%A3ng/@10.7586193,106.694403,21z/data=!4m14!1m7!3m6!1s0x31752f8a42f114ef:0x95ae0451733a83f5!2zQ8SDbiBo4buZIFRoZSBHb2xkdmlldw!8m2!3d10.7561489!4d106.6918671!16s%2Fg%2F11fw0c6q49!3m5!1s0x31752f123083c0f1:0xe27ea2baa4a2d091!8m2!3d10.7586288!4d106.6944379!16s%2Fg%2F11f54thms8",Quận 4,19h-21h,45k,
85,Tré trộn Bà Đào,Tré trộn,Ăn vặt,"85 Rạch Bung Binh, Phường 9",Quận 3,09:00 - 22:00,50k,
86,Bún thái Ni,Bún thái,Món nước,"232 Hoàng Hoa Thám, phường 5",Quận Bình Thạnh,17:00 - 22:00,45-65k,
87,Món nhật Sachi Sushi,Món nhật,Sang choảnh - Không gian xinh,"13 Đường số 10, Tân Quy, Quận 7",Quận 7,17h-22h,,
88,Bánh mì Gánh Cụ Bà (Đại gia BD),Bánh mì,Bánh mì,,,,,
89,Cơm tấm Cô Giang,Cơm tấm,Cơm,"Đối diện 27 Cô Giang, Cầu Ông Lãnh",Quận 1,16-22h,,
90,Bún thịt nướng ngon,Bún thịt nướng,Món khô,Số 1 Nguyễn Trung Trực,Quận 1,08:00 - 19:00,50-70k,
91,Làng Chài - Nem nướng nha trang,Nem nướng,Món cuốn,"52 Hoàng Diệu, p.12
15/2 Đoàn Như Hải, P.13",Quận 4,7h-21h,,
92,Bún Bò Huế O HẠNH,Bún bò,Món nước,"32 Đ. Số 10, Tân Kiểng",Quận 7,6h30-20h,35-40k,
93,Ăn vặt,"Xiên bẩn, trà sữa",Ăn vặt,"70 đường số 5, Cư Xá Bình Thới",Quận 11,,,
94,Ăn vặt,"Xiên bẩn, trà sữa",Ăn vặt,38A Nguyễn Giản Thanh,Quận 10,,,
95,Nem lụi Cô Đào,Nem lụi cuốn,Món cuốn,Hẻm 209 Lê Văn Sỹ,Quận 3,12:30 - 19:00,,
96,Cơm tấm đêm,Cơm tấm đêm,Cơm,"178 Hậu Giang, P.6",Quận 6,00:01 - 05:00 | 22:00 - 23:59,,
97,Bếp cô Linh,Cơm tấm Long xuyên,Cơm,"710/6/8 Phan Văn Trị, P.10",Quận Gò Vấp,06:30 - 09:00 | 11:00 - 18:00,35-50k,
98,Bánh mì nướng ớt đỏ Thành Công,Bánh mì nướng,Bánh mì,"50 Nguyễn Xuân Khoái, Tân Thành",Quận Tân Phú,11h-21h,20k,
99,7 Ngày 7 Món,Bún mắm,Món nước,26 Cô Giang,Quận 1,6h-11h,"T2: bún mắm
T3: Mì vịt tiềm
T4: Bún thái (hoặc bún bò huế)
T5: Cháo cá, bánh mì hấp
T6: Bún cà ri gà (hoặc hủ tiếu gà)
T7: Bò kho (Bún bò viên gân, Xíu mại tôm)
CN: Bún gói già
(Mỗi ngày đều có Bún thịt nướng - bánh hỏi - bánh nghệ)",Ngày chay nghỉ
100,K-Jeju Chicken,Món hàn (chủ yếu gà),Sang choảnh - Không gian xinh,"222 Đường D5, P.25, Bình thạnh",Quận Bình Thạnh,10:00 - 22:00,100k-300k,
101,Norang Tongdak,Món hàn (chủ yếu gà),Sang choảnh - Không gian xinh,"34 Đường số 6, Hưng Vượng 2, Tân Phong",Quận 7,00:01 - 01:00 | 11:30 - 23:59,,
102,Pháp mì gà,"Mì gà, hủ tiếu",Món nước,"440/14 Thống Nhất, P.16",Quận Gò Vấp,10:00 - 21:00,35k,
103,Cơm gà xối mỡ ngon,Cơm gà,Cơm,"702 Trường Sa, Phường 14",Quận 3,8h-18h,,
104,Chả lụi nướng Lagi,Chả lụi Lagi,Món cuốn,"21 Nguyễn Văn Nghi, Phường 4",Quận Gò Vấp,15h-22h,28k,
105,Bánh mì Cá Hàng Xanh,Bánh mì cá,Bánh mì,246D XVNT,Quận Bình Thạnh,14:00 - 23:00,,
106,Hủ tiếu Sườn sụn,Hủ tiếu,Món nước,Hẻm 618 CMT8 (Đối diện CV Lê Thị Riêng),Quận 10,17:00 - 22:00,35-50k,
107,Johnson - Tokbokki & Kimbap,Món hàn,Sang choảnh - Không gian xinh,118 Nguyễn Gia Trí,Quận Bình Thạnh,10h45-21h30,Giá sinh viên,
108,Phở trộn,Phở trộn,Món nước,"433 Hậu Giang, P,11",Quận 6,6h30-23h30,55k-60k,
109,Chicken Plus,Món hàn (chủ yếu gà),Sang choảnh - Không gian xinh,Nhiều chi nhánh,Quận Bình Thạnh,,,
110,Dimsum nổi tiếng,Dimsum,Món nước,"38B Học Lạc, P.14",Quận 5,6h-12h | 15h-21h,45k,
111,Mì quảng chuẩn vị miền Nam,Mì quảng bánh canh,Món nước,"Hẻm 85 Trần Quang Diệu, P.13",Quận 3,06:00 - 12:00,55k,
112,Miến gà trộn Đại Học Kiến Trúc,Miến trộn,Món khô,"196 Pasteur, Vo Thi Sau",Quận 3,6h-12h,25k,
